fichier,role,trames,rate,rms_dbfs,crete,crete_dbfs,delta_raccord,p95_deltas,stabilite_fenetre_db,frac_707_2828_pct,frac_125_500_pct,qoa_octets
amb_p1_lit,lit,661500,22050,-27.500,0.21777,-13.240,0.0000000,0.0434875,3.611,91.48,1.48,267728
amb_p2_ouvert,lit,330750,22050,-27.500,0.18100,-14.846,0.0000305,0.0434875,2.692,91.39,1.50,133872
amb_p2_ferme,lit,330750,22050,-27.500,0.20444,-13.789,0.0000000,0.0303955,3.493,94.41,5.20,133872
amb_p3_lit,lit,441000,22050,-27.500,0.19400,-14.244,0.0000000,0.0435791,4.582,91.45,1.48,178496
amb_evt_1,evenement,55125,22050,-21.293,0.24136,-12.347,0.0000000,0.1323242,79.006,100.00,0.00,22328
amb_evt_2,evenement,55125,22050,-26.633,0.24136,-12.347,0.0000000,0.0340271,14.223,96.87,3.11,22328
amb_evt_3,evenement,55125,22050,-26.433,0.24136,-12.347,0.0000610,0.1004944,12.105,37.94,0.18,22328
amb_evt_4,evenement,55125,22050,-22.385,0.24136,-12.347,0.0000305,0.2106018,7.947,0.00,0.00,22328
